date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:49	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:33%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-4-1/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-4-1/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:49	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:33%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-4-2/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-4-2/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:52	295553/295553	---M-Z	200	added ('OK')	text/css	etag:%2248281-5c454afdb38e0-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_4595635d6d651c236339eb33cc43d3c9.css	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_4595635d6d651c236339eb33cc43d3c9.css	(from http://blackboxjumper.maweb.eu/wiki/score-counter/)
14:49:58	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:39%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-3/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-3/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:58	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:39%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-4/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-4/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:58	0/0	U--MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:49:43%20GMT	http://blackboxjumper.maweb.eu/wiki/versions/1-2/	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wiki/versions/1-2/index.html	(from http://blackboxjumper.maweb.eu/wiki/versions/)
14:49:59	4679/4679	U-----	200	untouched ('')	image/png	etag:%221247-5c0e35a8e8edb%22	http://blackboxjumper.maweb.eu/wp-content/uploads/2021/04/bbj-score.png	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/uploads/2021/04/bbj-score.png	(from http://blackboxjumper.maweb.eu/wiki/score-counter/)
14:50:07	98/98	---M-Z	200	added ('OK')	text/css	etag:%2262-5c4547da72108-gzip%22	http://blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_1943ebdd4b7cda5d90bd2d5e8c624402.css?ver=1623242287	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-content/cache/autoptimize/css/autoptimize_single_1943ebdd4b7cda5d90bd2d5e8c6244027fa5.css	(from http://blackboxjumper.maweb.eu/wiki/score-counter/)
14:50:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Jun%202021%2012:50:05%20GMT	http://blackboxjumper.maweb.eu/?p=491	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/index87e8.html	(from http://blackboxjumper.maweb.eu/wiki/score-counter/)
14:50:19	2837/2837	U--MC-	200	updated ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:50:05%20GMT	http://blackboxjumper.maweb.eu/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fblackboxjumper.maweb.eu%2Fwiki%2Fscore-counter%2F	C:/Users/stand/BBJ-stranka-static/BBJ-stranka-github/blackboxjumper.maweb.eu/wp-json/oembed/1.0/embedf245.json	(from http://blackboxjumper.maweb.eu/wiki/score-counter/)
