Submission Date,status,Name,Game version,Level,Score,Gold,Screenshot/Video,Date,Number of mutators,Game version 2,Used weapon,Mutators,Used perks,Submission ID
2023-08-15 17:17:50,a,Baerentoeter,Early access,Neuland,5158,65,https://cdn.discordapp.com/attachments/1125745065051029514/1142070654431146074/TZMajjO.png,15/08/2023 16:41,0,unknown,Bow,None,,5679218707773175864
2023-08-17 12:50:32,a,GhostMiner,Early access,Nordfels,9797,42,https://ghost-miner.github.io/thronefall/img/scores/ea-nf/ghostminer2.png,17/08/2023 12:46,unknown,unknown,unknown,,,5680786323529001240
2023-08-17 14:43:11,o,Morry4C,Early access,Frostsee,32389,367,https://youtu.be/ClNADt18RZw,17/08/2023 20:42,unknown,unknown,unknown,,,5680853910285796040
2023-08-17 19:21:40,o,Anael,Early access,Nordfels,48861,335,https://www.youtube.com/watch?v=_OUJChj6r54,17/08/2023 14:20,7,1.1,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5681021000429293808
2023-08-18 6:18:10,a,Anael,Early access,Nordfels,49545,350,https://www.youtube.com/watch?v=rqJVLlyH7R0,18/08/2023,7,1.11,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, glass cannon, War horse",5681414900428389708
2023-08-19 13:07:18,a,A Zhu,Early access,Durststein,41500,470,https://youtu.be/xLwUuC-5rHc,19/08/2023,6,1.1,Bow,"Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, Pumpkin fields, Elite warriors",5682524380523160972
2023-08-19 14:01:18,o,TopTim11,Early access,Frostsee,25931,320,https://postimg.cc/vxmVc41G,19/08/2023,6,1.1,unknown,,,5682556781685330633
2023-08-19 23:30:22,o,remolx,Early access,Frostsee,30162,237,https://lh3.googleusercontent.com/pw/AIL4fc_AGBd-VW0k0UbdvlnJR7uy10Uw1vyOYNZq1cwVT_vclNeC3YJNG3SVECnbHQDgpoa2o-3KQafhSqJnRG7IN0iJI3lNHLTS3l5oLVvGhNw5WMWgD_j7IjI_FxCXZXs4VRp6yPyN5SaUdqZU61dqkk8iQaeIGkXvPjC1NUs07KgFpxIzaaT7ST2ibQ3Ocr9ucpcR4ALW6ZSTcnfdnMbn23gPxkVkCJQVs2U6BsGC8YFYpgHw3EOrB5rgkJyYgF38xR2oCjB0icx3YirZXE4Bov51KDMJKEoVKDXxPVlalrXHQLBD85RThagDBtqTFYShTpsNraJgzEZtKHk3Tg28kxi1VzZhT8CkQV4bEoGtbF2vuKHuPEU-iGeBYfUBbqqlr5v0SLkAwS_bqutYvNlRGUwDqSkSv7GWhW9KLvLiM_621DbJyRE31rKDB1v9HqTtwgEE1WwnEe4QZpB328m9Ko5Adqyp9WUSQgaoPr5NdQS2Z2Ppv2mxtC7KOsisJaj40Fo9-gFhT8bbGUkIiIlb_3WovYBIGKF7RS1lsjGp6Aewxd2KB2vnfhVP4uZuEoJk5Ho_GnFOu8MhKOH86vD-xBMdylR0MBVRXkOem-ov9YyLyYrRwj1358RzzNE4HjdEBokHFr-KhMJ3_wUhUJIZGcKQk-TI9VynR-ESt2lyQ6i4ShShbiwvxcrGu7NiaZxbVwa4lmhashbrHp-fvhNEjK0gfIbydrIt6QAl56CPxGvZV1_9gyTF1j75ozkxu1W-5FphNd8_H1IKCaYPK6ryHurPn1bKXpMKgs8w4jv7YgujuVK8MyWFZkGed4koaz9ZCz9Et2TZmHPBp2p9rIzOD_o_Lbc-vp7iEzvh_wrU0FLIj0TBpD16A10hRE87g8RFlqvTdyc3zTP-6CJ7vsy8eFUnpXUuobyh1XJjJLKp5EPRnrZv4OIw4b561DPpjlakvGwEfi3AGlnnxxkhtxOdD9T1901CXFToLMwy6zDoxXqGU91f2M7hTnsjB9StbsfqTSojs0dShjPjpEqlgBiDexvopfEJc_biuLWBMgSATKmxqNTG0N6e-VH7UpMU7u7taX9CuVqaBqOpmYYX8Tj-UORYT7U=w1321-h743-no?authuser=0,19/08/2023,6,1.1,unknown,,,5682898221612541965
2023-08-20 11:08:52,r,A Zhu,Early access,Frostsee,35270,323,https://youtu.be/nohzugA12B0,20/08/2023,6,1.11,unknown,,,5683317320529850043
2023-08-20 11:22:15,a,A Zhu,Early access,Frostsee,35270,323,https://youtu.be/P8HMFb8x1uQ,20/08/2023,6,1.11,Bow,,,5683325350526452154
2023-08-20 13:31:12,a,mirkoo,Early access,Frostsee,36819,130,https://www.youtube.com/watch?v=Ur-m6vYnUt4,20/08/2023,7,1.11,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Heavy armour, War horse, Big harbours",5683402729611552996
2023-08-20 15:44:38,a,TopTim11,Early access,Frostsee,34582,110,https://i.postimg.cc/5tftZyhC/Highscore-frostsee2.png,20/08/2023,7,1.1,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5683482781684243362
2023-08-20 17:18:16,o,Morry4C,Early access,Frostsee,36192,392,https://youtu.be/pU6RZIlXK6M,20/08/2023,6,1.1,unknown,,,5683538960287694392
2023-08-20 18:34:09,a,Shiloh,Early access,Frostsee,32853,308,https://media.discordapp.net/attachments/1117853463045476382/1142848512975974590/Screen_Shot_2023-08-20_at_10.51.18_AM.png?width=1602&height=1004,20/08/2023,6,1.11,unknown,,,5683584495252149922
2023-08-20 21:20:58,o,remolx,Early access,Frostsee,35725,274,https://photos.google.com/share/AF1QipMhwgWFMpBkazdQZXKSTb3OmM3zx7kx2II0QBdJ6le8NVMYlxj0Oj-lnYAIVXgnRQ?key=OFEyRmhYSGQ5U2UzRHdHcElXTFpsLVhSSnVrcDhn,20/08/2023,6,1.1,unknown,,,5683684581612349167
2023-08-20 21:23:28,a,Termii,Early access,Frostsee,40746,230,https://www.youtube.com/watch?v=PgSjR9GDoJk,20/08/2023,7,1.11,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","War horse, Heavy armour, Big harbours",5683686084684230065
2023-08-21 16:55:23,a,Morry4C,Early access,Durststein,47756,408,https://youtu.be/1xLKsTUgxrQ,21/08/2023,7,1.11,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Pumpkin fields, Heavy armour, Royal mint",5684389230288408389
2023-08-21 19:32:28,o,remolx,Early access,Frostsee,39324,187,https://i.postimg.cc/VvVjdsJX/bow-7-mut-fr.jpg,21/08/2023,7,1.15,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5684483481611875787
2023-08-22 0:59:09,o,remolx,Early access,Frostsee,40732,205,https://i.postimg.cc/QMRYKLMT/fs-7-mut-bow.jpg,22/08/2023,7,1.15,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5684679491611702138
2023-08-22 13:43:16,r,LaBaguetteDuGame,Early access,Nordfels,41588,188,https://discord.com/channels/1064507938095497268/1117853463045476382/1143509856398102598,22/08/2023,7,1.15,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5685137961514009534
2023-08-22 17:48:40,o,LaBaguetteDuGame,Early access,Nordfels,41588,188,https://cdn.discordapp.com/attachments/1125745065051029514/1143589809533763634/image.png,22/08/2023,7,1.15,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5685285201513421878
2023-08-23 14:11:29,a,Chak,Early access,Neuland,5125,65,https://paste.pics/6b9e73143d6775b3ce1a29432937d587,23/08/2023,0,1.15,Bow,None,,5686018899422571781
2023-08-23 14:39:55,o,BadWolf,Early access,Neuland,4544,61,https://pasteboard.co/WaNsT9nkkaLp.png,23/08/2023,0,1.15,unknown,None,,5686035953411594103
2023-08-23 14:54:01,a,Chak,Early access,Nordfels,24207,48,https://paste.pics/8fc5f213dd7d9c12852c23bd434c782c,23/08/2023,6,1.15,unknown,,,5686044419425202922
2023-08-23 18:04:27,a,LaBaguetteDuGame,Early access,Frostsee,33721,215,https://ibb.co/gM069NF,23/08/2023,6,1.15,unknown,,,5686158671519313863
2023-08-23 19:38:14,a,remolx,Early access,Neuland,5152,65,https://i.postimg.cc/dQdf3DhR/14.jpg,23/08/2023,0,1.15,Bow,None,,5686214941618753061
2023-08-23 21:56:27,a,LaBaguetteDuGame,Early access,Nordfels,46090,291,https://ibb.co/3k2RhMS,23/08/2023,7,1.15,unknown,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5686297871513933994
2023-08-24 8:46:39,a,Morry4C,Early access,Frostsee,44423,306,https://youtu.be/iansF3JG_Ng,24/08/2023,7,1.15,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death",,5686687990282613394
2023-08-24 9:58:17,a,mxi97,Early access,Neuland,5092,61,https://cdn.discordapp.com/attachments/760660365331398656/1144178712800137286/image.png,24/08/2023,0,1.15,Bow,None,,5686730975725276454
2023-08-24 9:59:04,a,Lich46,Early access,Durststein,50808,504,https://www.youtube.com/watch?v=S17bkDCv0YM,24/08/2023,7,1.15,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, Heavy armour, Pumpkin fields",5686731446715700510
2023-08-24 18:26:10,a,BadWolf,Early access,Neuland,5164,59,https://pasteboard.co/HCNTlUjLsGsv.png,24/08/2023,0,1.16,Bow,None,,5687035703416274640
2023-08-24 21:30:40,a,ItsMeRaven,Early access,Durststein,52597,527,https://youtu.be/3LAZ3Gj-aEE,24/08/2023,7,1.16,Spear,"Turtle god
Tiger god
Snake god
Falcon god
God of destruction
Wasp god
God of death","Royal mint, Heavy armour, Pumpkin fields",5687146407702751593
